Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
343,341.12,15.6327,20.3308,25.6461,7.477
344,342.105,15.7787,20.4181,25.8044,7.5016
345,343.09,15.9323,20.5134,25.9738,7.5281
346,344.075,16.0795,20.6006,26.133,7.5526
347,345.06,16.2286,20.6889,26.2944,7.5777
348,346.043,16.3788,20.781,26.4597,7.6037
349,347.027,16.5379,20.8796,26.6357,7.6315
350,348.011,16.6878,20.9741,26.8029,7.6577
351,348.995,16.8361,21.0671,26.9681,7.6832
352,349.979,16.9848,21.1605,27.134,7.7088
353,350.963,17.1392,21.2603,27.3085,7.7356
354,351.948,17.2828,21.3547,27.4722,7.7603
355,352.933,17.4211,21.4493,27.6327,7.7839
356,353.919,17.5584,21.5472,27.7953,7.808
357,354.904,17.7029,21.6528,27.9685,7.8338
358,355.887,17.8454,21.7578,28.1401,7.8601
359,356.872,17.9858,21.8564,28.3053,7.8845
360,357.858,18.1247,21.9504,28.4662,7.9076
361,358.844,18.2669,22.048,28.6321,7.9308
362,359.83,18.3996,22.1457,28.7919,7.9533
363,360.814,18.5405,22.2447,28.9582,7.9775
364,361.798,18.6853,22.3447,29.1277,8.0025
365,362.782,18.8382,22.4501,29.3068,8.0287
366,363.766,18.98,22.5522,29.4761,8.0534
367,364.751,19.1162,22.6544,29.642,8.0769
368,365.736,19.2529,22.7553,29.8073,8.1002
369,366.722,19.3969,22.8583,29.9791,8.1239
370,367.706,19.5386,22.9556,30.1449,8.147
371,368.691,19.6817,23.0552,30.3135,8.1708
372,369.675,19.8269,23.156,30.4845,8.1951
373,370.658,19.9771,23.2669,30.6665,8.2211
374,371.643,20.1187,23.3679,30.8354,8.2445
375,372.628,20.248,23.4777,31.003,8.2675
376,373.613,20.3795,23.5797,31.1661,8.2892
377,374.599,20.5198,23.6853,31.3378,8.3119
378,375.584,20.651,23.7895,31.5025,8.3338
379,376.57,20.7806,23.8939,31.6663,8.3553
380,377.556,20.9034,24.0016,31.8281,8.3762
381,378.542,21.0397,24.1123,32.0011,8.3987
382,379.527,21.1792,24.2125,32.1684,8.4208
383,380.51,21.3256,24.3139,32.3411,8.4442
384,381.494,21.4653,24.4192,32.5124,8.4671
385,382.479,21.6009,24.5362,32.6899,8.4904
386,383.465,21.7258,24.643,32.8525,8.5108
387,384.45,21.8635,24.749,33.0231,8.5332
388,385.432,22.0151,24.8521,33.2008,8.5572
389,386.414,22.1734,24.9678,33.3923,8.5836
390,387.398,22.3118,25.0755,33.5648,8.6061
391,388.382,22.4496,25.1839,33.7374,8.6286
392,389.367,22.5829,25.293,33.9076,8.6502
393,390.351,22.7291,25.4062,34.0894,8.6736
394,391.335,22.8673,25.5133,34.2613,8.6955
395,392.319,23.0058,25.6226,34.4352,8.7178
396,393.303,23.1439,25.7328,34.6095,8.7401
397,394.287,23.285,25.8498,34.7909,8.7629
398,395.271,23.4167,25.9661,34.9654,8.7851
399,396.256,23.546,26.0829,35.1388,8.8068
400,397.24,23.6782,26.1993,35.3137,8.8288
401,398.223,23.8277,26.3146,35.4996,8.8523
402,399.206,23.9677,26.4311,35.6799,8.8754
403,400.188,24.1062,26.5504,35.8613,8.8987
404,401.173,24.2334,26.6673,36.0333,8.9195
405,402.158,24.3663,26.7902,36.2136,8.9411
406,403.142,24.4938,26.9059,36.3851,8.9616
407,404.126,24.6237,27.0239,36.5598,8.9828
408,405.11,24.7516,27.1438,36.7346,9.0039
409,406.094,24.8921,27.2665,36.9199,9.0264
410,407.077,25.0355,27.3823,37.1021,9.0491
411,408.06,25.1727,27.4996,37.2813,9.0709
412,409.043,25.3105,27.611,37.4565,9.0917
413,410.028,25.4469,27.7319,37.6378,9.1128
414,411.012,25.5812,27.8472,37.8136,9.1335
415,411.996,25.7116,27.9648,37.9884,9.1539
416,412.979,25.8458,28.0852,38.1678,9.1753
417,413.962,25.9867,28.2107,38.3556,9.1975
